Player,BattingAverage
Frank Robinson,0.294
Gee Walker,0.294
Joe Stripp,0.294
Duff Cooley,0.294
Fred Tenney,0.294
Tommy Davis,0.294
Tim Raines,0.294
Howie Kendrick,0.294
Glenn Wright,0.294
Aaron Judge,0.293
Buck Freeman,0.293
Lance Berkman,0.293
Mike Easler,0.293
Jeff Heath,0.293
Mo Vaughn,0.293
Kip Selbach,0.293
Charlie Blackmon,0.293
Luis Polonia,0.293
Curt Flood,0.293
Phil Cavarretta,0.293
Garret Anderson,0.293
Lou Brock,0.293
Debs Garms,0.293
Pinky Higgins,0.292
Del Pratt,0.292
Tony Lazzeri,0.292
Mookie Betts,0.292
Cy Williams,0.292
Mule Haas,0.292
Heinie Groh,0.292
Dick Allen,0.292
Gary Sheffield,0.292
Dmitri Young,0.292
Lave Cross,0.292
Thurman Munson,0.292
Joe Cunningham,0.291
Sherry Magee,0.291
Tommy McCarthy,0.291
Fred Schulte,0.291
Ellis Burks,0.291
David Segui,0.291
Bobby Abreu,0.291
Darryl Hamilton,0.291
Frank Catalanotto,0.291
Carlos Baerga,0.291
Bill Mueller,0.291
Taylor Douthit,0.291
Hal Chase,0.291
Lance Johnson,0.291
Pete Runnels,0.291
Wally Moses,0.291
Brian Giles,0.291
Lou Piniella,0.291
Travis Jackson,0.291
Frank Baumholtz,0.29
Tommy Tucker,0.29
Ira Flagstead,0.29
Charlie Grimm,0.29
Jim Eisenreich,0.29
Brett Butler,0.29
John Anderson,0.29
Roy Thomas,0.29
Bruce Campbell,0.29
Luis Castillo,0.29
Carl Crawford,0.29
Josh Hamilton,0.29
Mike Hargrove,0.29
Billy Williams,0.29
Larry Doyle,0.29
Jimmy Wolf,0.29
Ferris Fain,0.29
Dave Parker,0.29
Roberto Kelly,0.29
Carney Lansford,0.29
Billy Butler,0.29
Hal McRae,0.29
Gene Richards,0.29
Jeff Kent,0.29
Troy Tulowitzki,0.29
Johnny Ray,0.29
Danny Murphy,0.289
Odell Hale,0.289
Alvin Dark,0.289
Paul Goldschmidt,0.289
Mark Grudzielanek,0.289
Harold Baines,0.289
Marty McManus,0.289
Wally Joyner,0.289
Milt Stock,0.289
Todd Walker,0.289
Bill Buckner,0.289
Chuck Knoblauch,0.289
Wally Moon,0.289
Hanley Ramirez,0.289
DJ LeMahieu,0.289
Red Schoendienst,0.289
Jerry Mumphrey,0.289
Red Rolfe,0.289
Hank Severeid,0.289
Larry Gardner,0.289
John Reilly,0.289
Bob Elliott,0.289
Gregg Jefferies,0.289
Harry Stovey,0.289
Nellie Fox,0.288
Rafael Palmeiro,0.288
Corey Seager,0.288
Andres Galarraga,0.288
Alex Johnson,0.288
Bobby Doerr,0.288
Lonnie Smith,0.288
Dave Magadan,0.288
Ron LeFlore,0.288
Jason Kendall,0.288
Tony Fernandez,0.288
Paul O'Neill,0.288
Nick Markakis,0.288
Ken Boyer,0.287
Carson Bigbee,0.287
Dummy Hoy,0.287
Augie Galan,0.287
Lu Blue,0.287
Reggie Smith,0.287
Adrian Gonzalez,0.287
Eddie Murray,0.287
Richie Zisk,0.287
Javy Lopez,0.287
Jack Smith,0.287
Gavvy Cravath,0.287
Martin Prado,0.287
Lou Finney,0.287
Xander Bogaerts,0.287
George Burns,0.287
Walter Holke,0.287
Jack McCarthy,0.287
Greg Gross,0.287
Whitey Witt,0.287
Lee Lacy,0.286
Phil Bradley,0.286
Charlie Keller,0.286
Felipe Alou,0.286
